FRC,Dose,Conductivity,Temperature,pH,DO,Turbidity,ORP
0,0,0.0033,20.1,6.5,7.8,2.08,272
0,0,0.0096,20.1,6.7,8.2,1.11,269
0,0,0.0044,20.1,6.6,7.5,1.5,278
0.07,0.07,0.0118,19.1,6.57,8.3,0.65,432
0.09,0.09,0.0103,19,6.83,8.4,0.58,525
0.18,0.18,0.0124,19,6.96,8.1,1.09,556
0.2,0.2,0.0169,19.4,6.89,8.3,1.54,560
0.26,0.26,0.017,19,7.09,8.3,0.54,577
0.33,0.33,0.0182,19.4,6.96,8.2,0.75,547
0.356,0.356,0.0199,19.3,6.9,8.3,1.32,550
0.367,0.367,0.0207,19.6,6.82,8.4,0.53,564
0.376,0.376,0.0206,19.3,6.85,8.4,0.67,552
0.39,0.39,0.0174,18.9,7.15,8.2,0.87,606
0.49,0.49,0.0323,20.3,6.68,8,1.81,609
0.386,0.386,0.0142,20.3,6.89,8,3.27,608
0.365,0.365,0.0155,20.2,6.88,8.1,2.75,619
0.51,0.51,0.0216,20.1,6.99,8.3,2.7,625
0.83,0.83,0.0483,20.2,7.21,8.1,2.61,642
0.94,0.94,0.0245,20.1,7.03,7.7,2.08,621
1.01,1.01,0.0273,20.1,7.12,8.1,1.2,628
0.9,0.9,0.0349,20.1,7.12,8.2,1.11,633
1.32,1.32,0.0791,20.2,7.25,8.1,1.5,653
1.23,1.23,0.0394,20.1,7.33,8.1,1.81,653
1.1,1.1,0.0389,20.1,7.31,7.9,1.02,656
1.12,1.12,0.0387,20.2,7.31,8.1,2.31,661
1.64,1.64,0.0518,21,7.35,7.7,1.12,642
1.42,1.42,0.0522,20.9,7.31,8.1,3,651
1.67,1.67,0.052,20.8,7.44,8.2,2.7,655
1.57,1.57,0.0516,20.7,7.43,7.9,2.61,636
2.31,2.31,0.072,20.6,7.41,8.5,2.08,648
2.16,2.16,0.064,20.5,7.51,8.2,1.11,655
2.08,2.08,0.0621,20.5,7.47,8.1,1.5,654
1.96,1.96,0.0618,20.5,7.5,8.2,1.81,663
