FRC,Dose,Conductivity,Temperature,pH,DO,Turbidity,ORP
0.049,0,0.866,19.3,8.11,8.3,3.32,217
0.077,0,0.868,19.2,8.1,8,3.56,214
0.04,0,0.863,19.2,8.13,8.4,4.51,213
0.035,0.5,0.946,20.2,8.09,8.3,3.34,241
0.051,0.5,0.93,20.3,8.08,8.4,3.12,230
0.005,0.5,0.942,20.3,8.09,8.4,3.22,225
0.13,2.5,0.943,19.9,8.01,8.1,3.11,326
0.03,2.5,0.953,20,8.03,8.2,3.25,316
0.05,2.5,0.957,20.2,8.03,8.1,3.17,332
2.19,5,1.015,20,7.85,8.3,4.02,587
1.99,5,1.016,20,7.92,8.2,2.67,581
1.75,5,1.013,19.9,7.94,8.3,2.5,575
