FRC,Dose,Conductivity,Temperature,pH,DO,Turbidity,ORP
0,0,2.91,19,6.87,8.4,2.31,390
0,0,2.9,19.1,6.79,8.4,1.21,387
0,0,2.89,19,6.85,8.3,1.8,395
0.31,0.5,3.12,19.5,7.11,8.3,2.1,575
0.29,0.5,3.15,19.7,7.2,8.1,0.79,580
0.3,0.5,3.15,19.7,7.23,8.4,3.1,572
0.94,1,3.16,20.2,7.35,8.2,1.9,612
0.97,1,3.15,20.2,7.27,8.2,0.78,610
0.9,1,3.17,20.2,7.3,8.3,2.2,612
1.41,1.5,3.17,19.2,7.39,8.1,2.4,625
1.48,1.5,3.19,19.5,7.37,8.2,1.81,641
1.32,1.5,3.09,20.1,7.22,8.2,2.3,613
2.01,2,3.21,19.1,7.38,8.4,1.1,660
1.75,2,3.2,19.1,7.32,8.4,0.67,644
1.83,2,3.16,19.2,7.34,8.3,2.11,656
2.43,2.5,3.21,19.2,7.31,8.3,3.11,680
2.22,2.5,3.2,19.2,7.3,8.5,0.67,675
2.38,2.5,3.2,19.2,7.2,8.4,1.21,682
