FRC,Dose,Conductivity,Temperature,pH,DO,Turbidity,ORP
0.031,0,0.0714,17.6,7.72,8.2,0.54,238
0.04,0,0.0683,17.3,7.66,8,0.76,225
0.036,0,0.0688,17.3,7.68,8,0.82,228
0.389,0.5,0.0738,20.2,7.91,8.5,0.82,562
0.377,0.5,0.0697,19.9,7.92,8.3,0.81,562
0.349,0.5,0.0697,19.7,7.94,8.3,1.39,571
0.27,0.5,0.0697,19.7,7.94,8.2,1.32,574
1.06,1.5,0.0742,20.4,7.88,8.4,0.85,599
0.97,1,0.0711,19.4,7.95,8.2,0.4,598
0.95,1,0.0708,19.3,7.89,8.1,0.65,592
1.19,1.5,0.0755,19.9,7.86,8.3,0.72,617
1.46,1.5,0.0721,19.8,7.9,8.4,0.71,622
1.36,1.5,0.072,19.3,7.72,8.4,0.65,620
1.4,1.5,0.0717,19.2,7.68,8.6,0.59,616
1.93,2,0.0756,19.9,7.95,8.3,0.5,630
2.11,2.5,0.0716,19.8,7.78,8.4,0.56,632
1.76,2,0.073,19.3,7.9,8.4,0.89,627
1.88,2,0.0723,19.2,7.9,8.6,1.01,640
